wave,blue
1378,0.504007065
1379,0.507272354
1380,0.51047999
1381,0.513632293
1382,0.516731442
1383,0.51977948
1384,0.522778333
1385,0.525729813
1386,0.528635632
1387,0.531497403
1388,0.534316654
1389,0.537094831
1390,0.539833304
1391,0.542533371
1392,0.545196266
1393,0.547823162
1394,0.550415175
1395,0.552973366
1396,0.555498749
1397,0.557992287
1398,0.560454902
1399,0.562887476
1400,0.565290848
1401,0.568283791
1402,0.571233039
1403,0.574140051
1404,0.577006213
1405,0.579832838
1406,0.582621178
1407,0.58537242
1408,0.588087696
1409,0.590768084
1410,0.593414614
1411,0.596028265
1412,0.598609976
1413,0.601160643
1414,0.603681123
1415,0.606172237
1416,0.608634771
1417,0.611069479
1418,0.613477083
1419,0.615858277
1420,0.618213728
1421,0.620544075
1422,0.622849935
1423,0.625131898
1424,0.627390536
1425,0.629626397
1426,0.63184001
1427,0.634031884
1428,0.636202512
1429,0.638352368
1430,0.640481909
1431,0.642591579
1432,0.644681804
1433,0.646752998
1434,0.648805559
1435,0.650839876
1436,0.652856321
1437,0.654855256
1438,0.656837033
1439,0.658801991
1440,0.660750459
1441,0.662682758
1442,0.664599195
1443,0.666500073
1444,0.668385682
1445,0.670256306
1446,0.67211222
1447,0.67395369
1448,0.675780977
1449,0.677594333
1450,0.679394002
1451,0.678191111
1452,0.676982126
1453,0.675766975
1454,0.674545583
1455,0.673317876
1456,0.672083778
1457,0.670843208
1458,0.669596089
1459,0.668342338
1460,0.667081873
1461,0.66581461
1462,0.664540462
1463,0.663259341
1464,0.661971157
1465,0.660675819
1466,0.659373234
1467,0.658063307
1468,0.656745939
1469,0.655421032
1470,0.654088484
1471,0.652748192
1472,0.651400049
1473,0.650043948
1474,0.648679779
1475,0.647307427
1476,0.645926778
1477,0.644537714
1478,0.643140114
1479,0.641733854
1480,0.640318809
1481,0.63889485
1482,0.637461843
1483,0.636019654
1484,0.634568145
1485,0.633107174
1486,0.631636594
1487,0.630156259
1488,0.628666015
1489,0.627165706
1490,0.625655172
1491,0.62413425
1492,0.62260277
1493,0.62106056
1494,0.619507444
1495,0.617943238
1496,0.616367758
1497,0.614780812
1498,0.613182202
1499,0.611571727
1500,0.609949179
1501,0.608502889
1502,0.607046823
1503,0.605580826
1504,0.604104739
1505,0.602618397
1506,0.601121633
1507,0.599614275
1508,0.598096145
1509,0.596567064
1510,0.595026845
1511,0.593475296
1512,0.591912221
1513,0.590337418
1514,0.58875068
1515,0.587151795
1516,0.585540541
1517,0.583916695
1518,0.582280023
1519,0.580630287
1520,0.578967242
1521,0.577290633
1522,0.5756002
1523,0.573895674
1524,0.572176778
1525,0.570443225
1526,0.568694721
1527,0.566930962
1528,0.565151633
1529,0.563356409
